"year","company_name","service","adverse_decisions","grievance"
2021,"4 Ever Life Insurance Company","inpatient hospital services",1,2
2021,"4 Ever Life Insurance Company","emergency room services",0,2
2021,"4 Ever Life Insurance Company","mental health services",0,0
2021,"4 Ever Life Insurance Company","physician services",0,2
2021,"4 Ever Life Insurance Company","laboratory radiology services",0,4
2021,"4 Ever Life Insurance Company","pharmacy services",0,0
2021,"4 Ever Life Insurance Company","pt ot st services incl inpat rehab ",0,0
2021,"4 Ever Life Insurance Company","skilled nurse facility sub acute nursing home",0,0
2021,"4 Ever Life Insurance Company","durable medical equipment services",0,0
2021,"4 Ever Life Insurance Company","dental",0,0
2021,"4 Ever Life Insurance Company","home health services",0,0
2021,"4 Ever Life Insurance Company","obesity ivf podiatry hearing and vision",0,0
2021,"4 Ever Life Insurance Company",NA,NA,NA
2021,"4 Ever Life Insurance Company",NA,NA,NA
2021,"4 Ever Life Insurance Company",NA,NA,NA
2021,"4 Ever Life Insurance Company",NA,NA,NA
2021,"Aetna Dental, Inc.","inpatient hospital services",0,0
2021,"Aetna Dental, Inc.","emergency room services",0,0
2021,"Aetna Dental, Inc.","mental health services",0,0
2021,"Aetna Dental, Inc.","physician services",0,0
2021,"Aetna Dental, Inc.","laboratory radiology services",0,0
2021,"Aetna Dental, Inc.","pharmacy services",0,0
2021,"Aetna Dental, Inc.","pt ot st services incl inpat rehab ",0,0
2021,"Aetna Dental, Inc.","skilled nurse facility sub acute nursing home",0,0
2021,"Aetna Dental, Inc.","durable medical equipment services",0,0
2021,"Aetna Dental, Inc.","dental",693,1
2021,"Aetna Dental, Inc.","home health services",0,0
2021,"Aetna Dental, Inc.","obesity ivf podiatry hearing and vision",0,0
2021,"Aetna Dental, Inc.",NA,NA,NA
2021,"Aetna Dental, Inc.",NA,NA,NA
2021,"Aetna Dental, Inc.",NA,NA,NA
2021,"Aetna Dental, Inc.",NA,NA,NA
2021,"Aetna Health Inc. ( a Pennsylvania corporation )","inpatient hospital services",39,23
2021,"Aetna Health Inc. ( a Pennsylvania corporation )","emergency room services",0,5
2021,"Aetna Health Inc. ( a Pennsylvania corporation )","mental health services",4,0
2021,"Aetna Health Inc. ( a Pennsylvania corporation )","physician services",42,96
2021,"Aetna Health Inc. ( a Pennsylvania corporation )","laboratory radiology services",2,34
2021,"Aetna Health Inc. ( a Pennsylvania corporation )","pharmacy services",15,46
2021,"Aetna Health Inc. ( a Pennsylvania corporation )","pt ot st services incl inpat rehab ",4,0
2021,"Aetna Health Inc. ( a Pennsylvania corporation )","skilled nurse facility sub acute nursing home",2,0
2021,"Aetna Health Inc. ( a Pennsylvania corporation )","durable medical equipment services",2,0
2021,"Aetna Health Inc. ( a Pennsylvania corporation )","dental",0,0
2021,"Aetna Health Inc. ( a Pennsylvania corporation )","home health services",0,1
2021,"Aetna Health Inc. ( a Pennsylvania corporation )","obesity ivf podiatry hearing and vision",5,9
2021,"Aetna Health Inc. ( a Pennsylvania corporation )",NA,NA,NA
2021,"Aetna Health Inc. ( a Pennsylvania corporation )",NA,NA,NA
2021,"Aetna Health Inc. ( a Pennsylvania corporation )",NA,NA,NA
2021,"Aetna Health Inc. ( a Pennsylvania corporation )",NA,NA,NA
2021,"Aetna Health Insurance Company","inpatient hospital services",NA,NA
2021,"Aetna Health Insurance Company","emergency room services",NA,NA
2021,"Aetna Health Insurance Company","mental health services",NA,NA
2021,"Aetna Health Insurance Company","physician services",NA,NA
2021,"Aetna Health Insurance Company","laboratory radiology services",NA,NA
2021,"Aetna Health Insurance Company","pharmacy services",NA,NA
2021,"Aetna Health Insurance Company","pt ot st services incl inpat rehab ",NA,NA
2021,"Aetna Health Insurance Company","skilled nurse facility sub acute nursing home",NA,NA
2021,"Aetna Health Insurance Company","durable medical equipment services",NA,NA
2021,"Aetna Health Insurance Company","dental",NA,NA
2021,"Aetna Health Insurance Company","home health services",NA,NA
2021,"Aetna Health Insurance Company","obesity ivf podiatry hearing and vision",NA,NA
2021,"Aetna Health Insurance Company",NA,NA,NA
2021,"Aetna Health Insurance Company",NA,NA,NA
2021,"Aetna Health Insurance Company",NA,NA,NA
2021,"Aetna Health Insurance Company",NA,NA,NA
2021,"Aetna Life Insurance Company","inpatient hospital services",69,18
2021,"Aetna Life Insurance Company","emergency room services",0,1
2021,"Aetna Life Insurance Company","mental health services",11,3
2021,"Aetna Life Insurance Company","physician services",68,53
2021,"Aetna Life Insurance Company","laboratory radiology services",8,26
2021,"Aetna Life Insurance Company","pharmacy services",19,31
2021,"Aetna Life Insurance Company","pt ot st services incl inpat rehab ",5,1
