company name ,naic #,year,adverse decisions company total,adverse decisions by carrier percent,adverse decisions inpatient hospital services number ,adverse decisions inpatient hospital services percent total,adverse decisions emergency room services number ,adverse decisions emergency room services percent total,adverse decisions mental health services number ,adverse decisions mental health services percent total ,adverse decisions physician services number ,adverse decisions physician services percent  total ,"adverse decisions laboratory, radiology services number","adverse decisions laboratory, radiology services percent  total ",adverse decisions pharmacy services number ,adverse decisions pharmacy services percent total ,"adverse decisions pt, ot, st services (incl inpat rehab) number ","adverse decisions pt, ot, st services (incl inpat rehab) percent  total  ",adverse decisions skilled nurse faculty sub acute nursing home number ,adverse decisions skilled nurse faculty sub acute nursing home percent  total ,adverse decisions durable medical equipment services number,adverse decisions durable medical equipment services percent  total ,adverse decisions dental number ,adverse decisions dental percent total ,adverse decisions home health services number ,adverse decisions home health services percent total ,"adverse decisions obesity, ivf, podiatry, hearing and vision number ","adverse decisions obesity, ivf, podiatry, hearing and vision percent  total ",grievances filed company total,grievances filed percent of all companies,grievance inpatient hospital services number ,grievance inpatient hospital services percent  total ,grievance emergency room services number ,grievance emergency room services percent total,grievance mental health services number ,grievance mental health services percent total ,grievance physician services number ,grievance physician services percent total ,"grievance laboratory, radiology services number","grievance laboratory, radiology services percent total ",grievance pharmacy services number ,grievance pharmacy services percent total ,"grievance pt, ot, st services (incl inpat rehab) number ","grievance pt, ot, st services (incl inpat rehab) percent total  ",grievance skilled nurse faculty sub acute nursing home number ,grievance skilled nurse faculty sub acute nursing home percent total ,grievance durable medical equipment services number,grievance durable medical equipment services percent total ,grievance dental number ,grievance dental percent total ,grievance home health services number ,grievance home health services percent total ,"grievance obesity, ivf, podiatry, hearing and vision number ","grievance obesity, ivf, podiatry, hearing and vision percent total ",grievances upheld number,grievances upheld percent total,grievances overturned number ,grievances overturned percent total,grievances modified number ,grievances modified percent total ,hospital length of stay total,hospital length of stay outcome ,grievances upheld number for hospital los,grievances upheld percent for hospital los,grievances overturned number for hospital los,grievances overturned percent for hospital los,grievances modified number for hospital los,grievances modified percent for hospital los,emergency cases - resolution hours 1 st quarter* ,emergency cases - resolution hours 2nd quarter* ,emergency cases - resolution hours 3rd  quarter* ,emergency cases - resolution hours 4th quarter* ,non-emergency cases - resolution days 1st quarter,non-emergency cases - resolution days 2nd quarter,non-emergency cases - resolution days 3rd quarter, non-emergency cases - resolution days 4th quarter,"total number of ""emergencies"" cases",emergencies outcome,internal emergency grievances upheld number,internal emergency grievances upheld percent ,internal emergency grievances overturned number,internal emergency grievances overturned percent ,internal emergency grievances modified number ,internal emergency grievances modified percent ,complaints investigated total ,complaints investigated percent ,carrier upheld by mia number ,carrier upheld by mia percent ,carrier reversed by mia number,carrier reversed by mia percent ,carrier modified by mia number ,carrier modified by mia percent ,carrier reversed itself during investigation number ,carrier reversed itself during investigation percent 
4 Ever Life Insurance Company,80985,2021,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.001,2,0.2,2,0.2,0,0,2,0.2,4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.3,7,0.7,0,0,4,2,2,1,0,0,0,0,432,0,0,0,3,1,0,0,2,2,0,0,2,1,0,0,,,,,,,,,,
"Aetna Dental, Inc.",95910,2021,693,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,693,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,,,,,,,,,,,,,0,0,0,22,,,,,,,,,,,,,,,,,,
Aetna Health Inc. ( a Pennsylvania corporation ),95109,2021,115,0.001,39,0.339,0,0,4,0.035,42,0.365,2,0.017,15,0.13,4,0.035,2,0.017,2,0.017,0,0,0,0,5,0.043,217,0.027,23,0.106,5,0.023,0,0,96,0.442,34,0.157,46,0.212,0,0,0,0,0,0,0,0,1,0.005,9,0.041,110,0.507,94,0.433,13,0.06,,,,,,,,,,,,,20.4,19.2,24.6,23.9,,,,,,,,,8,0.03,3,0.38,1,0.13,0,0,4,0.5
Aetna Health Insurance Company,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,1,0,0,0,0
Aetna Life Insurance Company,60054,2021,188,0.002,69,0.367,0,0,11,0.059,68,0.362,8,0.043,19,0.101,5,0.027,2,0.011,2,0.011,0,0,1,0.005,3,0.016,143,0.018,18,0.126,1,0.007,3,0.014,53,0.371,26,0.182,31,0.217,1,0.007,0,0,1,0.007,3,0.021,1,0.007,5,0.035,80,0.559,62,0.434,1,0.007,,,,,,,,,,,,,17.3,21.7,22.3,22,,,,,,,,,3,0,1,0.33,1,1,0,0,1,0.33
"Alpha Dental Programs, Inc.",95163,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,174,0.022,0,0,0,0,3,0.021,0,0,0,0,0,0,0,0,0,0,0,0,174,1,0,0,0,0,79,0.454,71,0.408,24,0.138,,,,,,,,,,,,,22,25.6,28,33.3,,,,,,,,,,,,,,,,,,
Ameritas Life Insurance Corp.,61301,2021,285,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,1,0,0,0,0,134,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,1,0,0,0,0,76,0.567,46,0.343,12,0.09,,,,,,,,,,,,,34,28,24,26,,,,,,,,,1,0,0,0,0,0,0,0,1,1
"CareFirst BlueChoice, Inc.",96202,2021,21128,0.26,12,0.001,0,0,298,0.014,1182,0.056,3015,0.143,15727,0.744,85,0.004,6,0,786,0.037,4,0,9,0,4,0,1738,0.215,8,0.005,2,0.001,8,0.005,38,0.022,112,0.064,1476,0.849,6,0.003,2,0.001,83,0.048,3,0.002,0,0,0,0,648,0.373,1088,0.626,2,0.001,8,3,2,0.667,1,0.333,0,0,24,24,24,24,16.5,22.3,23.4,14.1,535,180,41,0.228,139,0.772,0,0,71,0.23,27,0.38,19,0.27,1,0.01,24,0.34
"CareFirst of Maryland, Inc.",47058,2021,7057,0.087,2,0,1,0,31,0.004,184,0.026,239,0.034,5810,0.823,14,0.002,2,0,111,0.016,659,0.093,4,0.001,0,0,901,0.112,0,0,0,0,1,0.001,6,0.007,16,0.018,796,0.883,0,0,0,0,4,0.004,78,0.087,0,0,0,0,288,0.32,608,0.675,5,0.006,,,,,,,,,24,24,24,24,15,15.5,19.8,17.1,264,86,18,0.209,68,0.791,0,0,69,0.23,16,0.23,19,0.28,1,0.01,33,0.48
CaremarkPCS Health L.L.C.,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.02,1,0.17,1,0.17,0,0,4,0.67
